#Zotu ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession_description,Accession no.,evalue,per. Ident,taxid
Zotu1,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.06E-172,100,863246
Zotu576,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,2.62E-92,95.434,351716
Zotu577,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,2.8E-112,98.312,312471
Zotu578,,,,,,,,,,,,
Zotu579,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.39E-161,98.193,863246
Zotu580,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus 2 BAC CH230-157M2 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC112898.5,1.09E-39,93.22,10116
Zotu581,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,1.22E-90,94.977,351716
Zotu582,,,,,,,,,,,,
Zotu583,,,,,,,,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,2.41E-27,89.623,0
Zotu584,,,,,,,,"Uncultured eukaryote clone SHBA765 18S ribosomal RNA gene, partial sequence",HQ869417.1,1.51E-80,88.889,0
Zotu585,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus chromosome 5, clone RP24-458L16, complete sequence",AC120413.20,5.77E-74,90.498,10090
Zotu586,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Cricetidae        ,Onychomys   ,Onychomys torridus,"Onychomys torridus genome assembly, chromosome: 11",LR877198.1,0.000000278,91.837,38674
Zotu587,,,,,,,,,,,,
Zotu588,,,,,,,,"Uncultured eukaryote clone SHBA765 18S ribosomal RNA gene, partial sequence",HQ869417.1,7.03E-79,88.506,0
Zotu589,,,,,,,,"Mus musculus BAC clone RP24-356P17 from chromosome 17, complete sequence",AC125339.4,1.15E-39,86.42,0
Zotu590,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus, clone 0129C08, complete sequence",AC234897.5,2.55E-26,90.909,9986
Zotu591,,,,,,,,,,,,
Zotu592,,,,,,,,,,,,
Zotu593,,,,,,,,"PREDICTED: Rattus norvegicus FAD-dependent oxidoreductase domain containing 1 (Foxred1), transcript variant X5, misc_RNA",XR_593815.2,4.43E-56,86.364,0
Zotu594,,,,,,,,"Uncultured kinetoplastid clone IP_62 18S ribosomal RNA gene, partial sequence",JN630012.1,4.2E-81,88.846,0
Zotu595,,,,,,,,,,,,
Zotu596,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,4.05E-66,99.31,863246
Zotu597,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate TeToto4 18S ribosomal RNA gene, partial sequence",AY753619.1,3.72E-96,94.118,312471
Zotu598,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"PREDICTED: Rattus norvegicus uncharacterized LOC102546375 (LOC102546375), transcript variant X3, ncRNA",XR_349491.3,1.01E-62,97.297,10116
Zotu599,,,,,,,,,,,,
Zotu600,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"PREDICTED: Rattus rattus guanylate-binding protein 1-like (LOC116895226), mRNA",XM_032896554.1,4.27E-24,100,10117
Zotu601,,,,,,,,,,,,
Zotu602,,,,,,,,,,,,
Zotu603,,,,,,,,,,,,
Zotu604,,,,,,,,"Mus musculus targeted non-conditional, lacZ-tagged mutant allele Efhc2:tm1e(KOMP)Wtsi; transgenic",JN960312.1,1.89E-37,89.552,0
Zotu605,,,,,,,,,,,,
Zotu606,,,,,,,,"Uncultured kinetoplastid clone GB_A04 18S ribosomal RNA gene, partial sequence",JN629783.1,1.23E-86,88.809,0
Zotu607,,,,,,,,"Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Efemp1:tm1a(EUCOMM)Wtsi; transgenic",JN961204.1,3.73E-102,89.701,0
Zotu608,,,,,,,,,,,,
Zotu609,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,2.45E-88,90.625,100272
Zotu610,,,,,,,,"Uncultured soil eukaryote clone a665 small subunit ribosomal RNA gene, partial sequence",MK946257.1,1.29E-86,87.889,0
Zotu611,,,,,,,,,,,,
Zotu612,,,,,,,,"Oryctolagus cuniculus clone LBNL1-125D4, complete sequence",AC144399.2,1.62E-70,86.8,0
Zotu613,,,,,,,,,,,,
Zotu614,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus targeted non-conditional, lacZ-tagged mutant allele Tmem151b:tm1e(KOMP)Wtsi; transgenic",JN962818.1,5.63E-53,93.793,10090
Zotu615,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus 2 BAC CH230-285C2 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC118487.4,1.68E-130,95.066,10116
Zotu616,,,,,,,,"Uncultured eukaryote clone TKR07M.129 18S ribosomal RNA gene, partial sequence",GU290113.1,1.51E-80,88.506,0
Zotu617,,,,,,,,,,,,
Zotu618,,,,,,,,"Mouse DNA sequence from clone RP23-272C14 on chromosome 2, complete sequence",AL591598.8,4.48E-81,88.148,0
Zotu619,,,,,,,,"Mus musculus BAC clone RP23-127P22 from chromosome 19, complete sequence",AC132454.3,2.8E-36,83.815,0
Zotu620,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,1.45E-70,86.957,0
Zotu621,,,,,,,,"Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Lca5:tm1a(EUCOMM)Wtsi; transgenic",JN958158.1,1.06E-26,86.667,0
Zotu622,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,1.44E-75,88.142,0
Zotu623,,,,,,,,"Uncultured kinetoplastid clone IP_39 18S ribosomal RNA gene, partial sequence",JN629986.1,2.46E-78,88.672,0
Zotu624,,,,,,,,,,,,
Zotu625,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,1.21E-86,88.809,0
Zotu626,,,,,,,,,,,,
Zotu627,,,,,,,,,,,,
Zotu628,,,,,,,,,,,,
Zotu629,,,,,,,,,,,,
Zotu630,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,Mus musculus 10 BAC RP24-324P5 (Roswell Park Cancer Institute (C57BL/6J Male) Mouse BAC Library) complete sequence,AC164624.3,9.09E-84,93.182,10090
Zotu631,,,,,,,,,,,,
Zotu632,,,,,,,,,,,,
Zotu633,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma vegrandis,"Trypanosoma sp. AB-2013 isolate G5 18S ribosomal RNA gene, complete sequence; and 18S ribosomal RNA gene, partial sequence",KC753534.1,5.2E-176,98.592,1345638
Zotu634,,,,,,,,"Uncultured kinetoplastid clone Kryos_IF_F1 18S ribosomal RNA gene, partial sequence",JN542571.1,3.25E-82,88.973,0
Zotu635,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Acomys      ,Acomys russatus,"Acomys russatus genome assembly, chromosome: 4",LR877215.1,3.24E-16,92.537,60746
Zotu636,,,,,,,,,,,,
Zotu637,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,1.22E-90,94.977,351716
Zotu638,,,,,,,,,,,,
Zotu639,,,,,,,,,,,,
Zotu640,,,,,,,,,,,,
Zotu641,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid gene for 18S rRNA, partial sequence, clone: Lake Biwa hypolimnion 2",AB996691.1,2.41E-88,90.909,204529
Zotu642,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"PREDICTED: Rattus rattus guanylate-binding protein 1-like (LOC116895226), mRNA",XM_032896554.1,7.44E-24,100,10117
Zotu643,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,2.62E-92,95.434,351716
Zotu644,,,,,,,,"Uncultured kinetoplastid clone CB_35 18S ribosomal RNA gene, partial sequence",JN629704.1,8.68E-83,89.844,0
Zotu645,,,,,,,,,,,,
Zotu646,,,,,,,,,,,,
Zotu647,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,,Bodonidae sp. Jockey thermal pool,"Bodonidae sp. Jockey thermal pool 18S ribosomal RNA gene, partial sequence",AY490219.1,4.98E-100,94,266811
Zotu648,,,,,,,,,,,,
Zotu649,,,,,,,,,,,,
Zotu650,,,,,,,,,,,,
Zotu651,,,,,,,,,,,,
Zotu652,Eukaryota,Chordata   ,Mammalia      ,Dasyuromorphia ,Dasyuridae        ,Sarcophilus ,Sarcophilus harrisii,"TPA_inf: Sarcophilus harrisii MR1 gene for MHC class I-related protein, complete cds",BR000973.1,2.63E-15,96.491,9305
Zotu653,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus BAC clone RP24-235C16 from chromosome 8, complete sequence",AC131115.3,2.23E-08,100,10090
Zotu654,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae ,,Trypanosomatidae sp. MCZ-14,"Trypanosomatidae sp. MCZ-14 small subunit ribosomal RNA gene, partial sequence",KC206004.1,1.47E-43,96.46,1295821
Zotu655,,,,,,,,,,,,
Zotu656,,,,,,,,"Uncultured marine eukaryote clone AB_+67_KIN 18S ribosomal RNA gene, partial sequence",GU218703.1,2.02E-64,84.962,0
Zotu657,,,,,,,,"Mouse DNA sequence from clone RP23-387D16 on chromosome X, complete sequence",AL806532.10,7.02E-43,84.492,0
Zotu658,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,9.65E-73,85.816,0
Zotu659,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,2.66E-87,94.091,351716
Zotu660,,,,,,,,,,,,
Zotu661,,,,,,,,,,,,
Zotu662,,,,,,,,"Rattus norvegicus strain Brown Norway clone RP31-223K12, complete sequence",AC091514.2,3.42E-17,85.417,0
Zotu663,,,,,,,,,,,,
Zotu664,,,,,,,,,,,,
Zotu665,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,1.3E-110,97.89,312471
Zotu666,,,,,,,,"Uncultured kinetoplastid clone IP_62 18S ribosomal RNA gene, partial sequence",JN630012.1,9.04E-83,89.231,0
Zotu667,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Acomys      ,Acomys russatus,"Acomys russatus genome assembly, chromosome: 25",LR877236.1,8.73E-17,93.846,60746
Zotu668,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.6 18S ribosomal RNA gene, partial sequence",AY753958.1,8.61E-108,94.942,100272
Zotu669,,,,,,,,,,,,
Zotu670,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"PREDICTED: Rattus norvegicus uncharacterized LOC102556629 (LOC102556629), transcript variant X2, mRNA",XM_006222921.3,1.52E-79,93.659,10116
Zotu671,,,,,,,,"Uncultured kinetoplastid clone CB_101 18S ribosomal RNA gene, partial sequence",JN629578.1,1.91E-59,85.062,0
Zotu672,,,,,,,,"Acomys russatus genome assembly, chromosome: 8",LR877219.1,3.56E-10,80.952,0
Zotu673,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Allobodo    ,Allobodo chlorophagus,"Allobodo chlorophagus isolate CAK1 small subunit ribosomal RNA gene, partial sequence",MH656403.1,1.89E-84,90.157,2282701
Zotu674,Eukaryota,Arthropoda ,Arachnida     ,Opiliones      ,Caddidae          ,Acropsopilio,Acropsopilio chilensis,"Acropsopilio chilensis voucher CASENT-9027889 18S ribosomal RNA gene, partial sequence",KF963303.1,1.14E-49,90.506,571276
Zotu675,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.09E-152,96.429,863246
Zotu676,,,,,,,,,,,,
Zotu677,,,,,,,,,,,,
Zotu678,,,,,,,,,,,,
Zotu679,,,,,,,,,,,,
Zotu680,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"PREDICTED: Oryctolagus cuniculus potassium voltage-gated channel subfamily D member 1 (KCND1), mRNA",XM_002719905.3,4.11E-79,100,9986
Zotu681,,,,,,,,,,,,
Zotu682,,,,,,,,,,,,
Zotu683,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus CH230-383I17 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC121664.5,1.35E-35,98.889,10116
Zotu684,,,,,,,,,,,,
Zotu685,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus, clone 0863G04, complete sequence",AC234997.5,4.75E-71,93.194,9986
Zotu686,,,,,,,,,,,,
Zotu687,,,,,,,,,,,,
Zotu688,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans strain HFCC323 18S ribosomal RNA gene, partial sequence",DQ207575.1,1.79E-119,98.024,75058
Zotu689,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus 2 BAC CH230-9C20 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC095688.7,8.06E-54,100,10116
Zotu690,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,8.43E-149,95.808,863246
Zotu691,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma amblyommi,"Trypanosoma sp. CR-2017b 18S ribosomal RNA gene, partial sequence",KX711902.1,1.16E-66,97.419,2020334
Zotu692,,,,,,,,"Uncultured soil eukaryote clone a665 small subunit ribosomal RNA gene, partial sequence",MK946257.1,2.77E-88,88.235,0
Zotu693,,,,,,,,,,,,
Zotu694,,,,,,,,"Uncultured kinetoplastid clone CB_35 18S ribosomal RNA gene, partial sequence",JN629704.1,4.04E-81,89.453,0
Zotu695,,,,,,,,,,,,
Zotu696,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,2.07E-74,86.17,0
Zotu697,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma binneyi,"Trypanosoma binneyi isolate PB88 18S ribosomal RNA gene, partial sequence",KJ867144.1,3.39E-142,98.625,87096
Zotu698,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,1.29E-115,99.156,312471
Zotu699,,,,,,,,,,,,
Zotu700,,,,,,,,,,,,
Zotu701,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,6.45E-160,97.892,863246
Zotu702,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus 8 BAC CH230-10P12 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC126959.6,3.88E-75,94.33,10116
Zotu703,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"PREDICTED: Rattus norvegicus solute carrier family 16 member 7 (Slc16a7), transcript variant X7, mRNA",XM_006241436.3,2.29E-82,98.87,10116
Zotu704,,,,,,,,,,,,
Zotu705,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD55 18S ribosomal RNA gene, partial sequence",AY998651.1,2.3E-103,94.8,312471
Zotu706,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans strain HFCC323 18S ribosomal RNA gene, partial sequence",DQ207575.1,1.8E-114,96.838,75058
Zotu707,,,,,,,,,,,,
Zotu708,,,,,,,,,,,,
Zotu709,,,,,,,,,,,,
Zotu710,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma vegrandis,"Trypanosoma vegrandis isolate OTU3687 18S ribosomal RNA gene, partial sequence",KY640322.1,2.42E-174,98.31,1648351
Zotu711,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans strain HFCC323 18S ribosomal RNA gene, partial sequence",DQ207575.1,8.39E-113,96.443,75058
Zotu712,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,1.24E-85,93.636,351716
Zotu713,,,,,,,,,,,,
Zotu714,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus clone BAC LBAB_119D04, complete sequence",KJ810981.1,5.66E-23,95.89,9986
Zotu715,,,,,,,,,,,,
Zotu716,,,,,,,,"Mus musculus chromosome 8, clone RP23-307O2, complete sequence",AC165233.6,3.47E-51,86.735,0
Zotu717,,,,,,,,Rattus norvegicus 8 BAC CH230-416D7 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC135409.3,1.02E-33,80.455,0
Zotu718,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus BAC CH230-89G23 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC125963.6,5.83E-74,95.58,10116
Zotu719,,,,,,,,Mus musculus 6 BAC RP23-384P24 (Roswell Park Cancer Institute (C57BL/6J Female) Mouse BAC Library) complete sequence,AC164579.5,1.81E-43,84.896,0
Zotu720,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus clone BAC LBAB_852G10, complete sequence",KJ810983.1,6.79E-75,90.498,9986
Zotu721,,,,,,,,,,,,
Zotu722,,,,,,,,,,,,
Zotu723,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma amblyommi,"Trypanosoma sp. CR-2017b 18S ribosomal RNA gene, partial sequence",KX711902.1,1.16E-66,97.419,2020334
Zotu724,,,,,,,,,,,,
Zotu725,,,,,,,,,,,,
Zotu726,,,,,,,,,,,,
Zotu727,,,,,,,,"Acomys russatus genome assembly, chromosome: 30",LR877241.1,1.29E-45,82.805,0
Zotu728,,,,,,,,,,,,
Zotu729,,,,,,,,Oryctolagus cuniculus gene encoding ileal sodium-dependent bile acid transporter,AJ002005.1,2.1E-69,86.667,0
Zotu730,,,,,,,,,,,,
Zotu731,,,,,,,,,,,,
Zotu732,,,,,,,,,,,,
Zotu733,,,,,,,,"Uncultured kinetoplastid clone Kryos_IF_F1 18S ribosomal RNA gene, partial sequence",JN542571.1,7.03E-79,88.213,0
Zotu734,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone CB_35 18S ribosomal RNA gene, partial sequence",JN629704.1,6.73E-94,92.188,204529
Zotu735,,,,,,,,,,,,
Zotu736,,,,,,,,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,2.44E-27,89.72,0
Zotu737,,,,,,,,"Bodonidae sp. isolate Cx11 18S ribosomal RNA gene, partial sequence",MF000704.1,4.24E-81,88.679,0
Zotu738,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"PREDICTED: Rattus rattus sciellin (Scel), mRNA",XM_032917686.1,1.04E-21,100,10117
Zotu739,,,,,,,,,,,,
Zotu740,,,,,,,,,,,,
Zotu741,,,,,,,,,,,,
Zotu742,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate TeToto4 18S ribosomal RNA gene, partial sequence",AY753619.1,8.1E-88,92.017,312471
Zotu743,,,,,,,,Mus musculus CRISPRi-validated Ranbp17 enhancer cluster (LOC116915240) on chromosome 11,NG_068086.1,2.28E-42,84.772,0
Zotu744,,,,,,,,,,,,
Zotu745,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus, clone 0863G04, complete sequence",AC234997.5,1.01E-112,95.437,9986
Zotu746,Eukaryota,Arthropoda ,Arachnida     ,Ixodida        ,Ixodidae          ,Ixodes      ,Ixodes kopsteini,"Ixodes kopsteini 28S ribosomal RNA gene, partial sequence",AF120293.1,3.08E-75,100,48830
Zotu747,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.09E-152,96.418,863246
Zotu748,,,,,,,,"Mus musculus strain C57BL/6J clone rp23-74a5, complete sequence",AC133489.32,5.66E-44,83.186,0
Zotu749,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD55 18S ribosomal RNA gene, partial sequence",AY998651.1,1.07E-101,94.4,312471
Zotu750,,,,,,,,"Bodonidae sp. isolate Cx11 18S ribosomal RNA gene, partial sequence",MF000704.1,9.25E-73,86.792,0
Zotu751,,,,,,,,,,,,
Zotu752,,,,,,,,"Acomys russatus genome assembly, chromosome: 8",LR877219.1,3.27E-10,80.952,0
Zotu753,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans strain HFCC323 18S ribosomal RNA gene, partial sequence",DQ207575.1,1.79E-119,98.024,75058
Zotu754,,,,,,,,,,,,
Zotu755,,,,,,,,"Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Lca5:tm1a(EUCOMM)Wtsi; transgenic",JN958158.1,7.38E-27,86.667,0
Zotu756,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.47E-43,96.491,863246
